Title	Assignees	Status	Priority	Estimate	Size	Iteration
Canvas		Done				
Diagrama de Classe		Done				
Banco de Dados conceitual		Done				
Banco de dados lógico		Done				
Banco de dados físico		Done				
Logomarca projeto		Done				
Logomarca equipe		Done				
Figma		Done				
Filtragem de dados por "cidade": pontos turisticos		In Progress				
Localização de pontos disponíveis		In Progress				
Localização de guias disponiveis		In Progress				
API de Mapas		Todo				
ChatBot		Todo				
API Cnpj		Todo				
